Jahr	Mittelwert	Median	Mittelwert oberstes Quintil	Mittelwert unterstes Quintil
1991	56648	45700	133301	10330
1992	59623	48400	139347	11062
1993	60493	49000	141476	11347
1994	60045	48900	139758	11182
1995	60221	48800	141031	11124
1996	59155	47700	141056	9535
1997	58517	47300	139777	9101
1998	59512	47200	145147	8811
1999	59759	47200	146567	8619
2000	60053	47300	148719	7942
2001	62240	49000	153128	8695
2002	62656	49500	151951	9904
2003	62274	49270	151813	8957
2004	61576	48884	150501	8115
2005	62274	48536	155470	7463
2006	62984	48563	158872	7546
2007	65318	49530	166815	7953
2008	64910	47442	171657	7111
2009	65107	47980	171321	6917
2010	65751	48072	173954	6868
2011	64818	48350	168644	6901
2012	65189	48409	170304	6792
2013	66943	48816	177720	6764
