	18 bis 25 Jahre	26 bis 30 Jahre	31 bis 40 Jahre	41 bis 50 Jahre	51 bis 60 Jahre	61 bis 70 Jahre	>70 Jahre
2009	68	50	85	85	47	18	2
2010	62	43	96	84	51	21	1
2011	59	57	101	84	56	16	1
2012	79	55	135	97	70	23	2
2013	54	48	126	111	61	31	7
2014	56	50	98	147	64	32	7
2015	46	44	105	119	63	31	9
2016	60	48	110	123	86	30	9
2017	46	49	93	100	87	31	9
2018	64	38	94	96	69	33	13
